Molecule ChEMBL ID,Smiles,IC50(nM),Vina Affinity(kcal/mol),Vina RMSD l.b.,Vina RMSD u.b.,RMSD from initial,Document ChEMBL ID
,,,-8.5,2.216,2.464,0.964547914,
,,,-8.3,1.827,4.412,1.922950717,
,,,-8.3,2.736,6.438,2.389012914,
,,,-8.2,2.182,2.726,1.938192245,
,,,-8.1,3.042,7.121,0.977531603,
CHEMBL209633,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(OCc4ccccc4)ccc3N2)c(O)c2cccnc21,,-8.9,0,0,0.647508119,
,,,-8.7,2.217,2.855,1.613704648,
,,,-8.6,2.749,6.626,1.748365319,
,,,-8.6,1.883,2.553,1.663623903,
,,,-8.4,2.94,6.558,2.092235021,
,,,-8.4,2.812,5.178,1.540147635,
,,,-8.3,3.518,6.748,0.753453883,
,,,-8.2,2.694,5.181,2.155890919,
,,,-8.1,2.284,4.362,1.587441744,
CHEMBL213509,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(N)ccc3N2)c(O)c2cccnc21,23,-9,0,0,0.669405298,
,,,-9,1.333,2.303,2.233321378,
,,,-8.6,3.108,6.393,2.401055175,
,,,-8.6,1.979,4.574,2.135349053,
,,,-8.6,1.75,4.387,1.986226997,
,,,-8.5,2.772,6.985,1.201989518,
,,,-8.4,2.831,6.251,2.506213911,
,,,-8.4,3.269,7.451,2.142341938,
,,,-8.2,2.631,4.984,1.684212646,
CHEMBL212120,Cc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(Cc3ccccc3)c1=O)=N2,230,-8.5,0,0,1.005010351,
,,,-8.3,3.607,6.782,1.606338663,
,,,-8.3,1.992,2.081,1.545445717,
,,,-8,2.003,2.3,1.567441103,
,,,-7.7,3.364,8.041,1.655621132,
,,,-7.6,3.469,8.152,1.441220237,
,,,-7.6,3.133,5.231,1.528352024,
,,,-7.6,1.257,3.981,2.336819904,
,,,-7.5,3.465,7.842,0.844091573,
CHEMBL379432,Cc1cccc2c1N=C(c1c(O)c3cccnc3n(Cc3ccccc3)c1=O)NS2(=O)=O,6700,-8.5,0,0,1.009704279,
,,,-8.3,3.621,6.748,1.608132578,
,,,-7.9,3.291,8.261,1.708021634,
,,,-7.8,3.372,7.399,1.415216703,
,,,-7.7,3.462,8.093,1.489428737,
,,,-7.6,2.072,2.842,2.133316985,
,,,-7.6,3.276,6.794,1.790159108,
,,,-7.6,3.853,7.081,1.205833617,
,,,-7.5,3.135,5.22,1.533184073,
CHEMBL425607,CNC(=O)COc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(CCC(C)C)c1=O)=N2,180,-8.9,0,0,1.788406388,
,,,-8.8,1.485,2.757,1.698551357,
,,,-8.6,1.656,4.339,1.415255898,
,,,-8.4,3.675,6.848,2.252342681,
,,,-8.3,3.264,7.701,2.726917465,
,,,-8.2,2.152,5.103,1.938601811,
,,,-7.9,2.911,8.282,1.93885283,
,,,-7.6,2.651,8.268,1.479721812,
,,,-7.6,3.121,7.844,2.675730283,
CHEMBL211336,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)C(C)C)ccc3N2)c(O)c2cccnc21,3,-9,0,0,1.795222975,
,,,-8.8,1.498,2.758,1.640709844,
,,,-8.6,1.662,4.333,1.411084854,
,,,-8.5,2.252,3.012,1.033572893,
,,,-8.5,3.677,6.847,2.250801268,
,,,-8.3,3.259,7.709,2.729650446,
,,,-8.2,3.451,7.817,2.855816148,
,,,-8.2,3.714,7.89,1.618151332,
,,,-8.1,2.165,5.118,1.922501471,
CHEMBL213354,COc1ccc2c(c1)NC(c1c(O)c3cccnc3n(Cc3ccccc3)c1=O)=NS2(=O)=O,3900,-8.6,0,0,2.680876285,
,,,-8.4,2.88,7.723,2.637267507,
,,,-8.3,2.486,5.043,1.970908907,
,,,-8.2,1.627,4.16,1.126169276,
,,,-8.1,2.445,4.836,1.697189895,
,,,-8,2.141,2.542,2.053208023,
,,,-8,2.729,8.076,1.99049035,
,,,-7.8,2.056,4.383,0.858936076,
,,,-7.7,1.985,5.067,2.709387062,
CHEMBL379826,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NCC(N)=O)ccc3N2)c(O)c2cccnc21,470,-8.7,0,0,2.683736033,
,,,-8.4,2.705,8.108,2.068601047,
,,,-8.3,2.844,7.73,2.637755945,
,,,-8.3,1.615,4.264,1.111287903,
,,,-8.3,2.488,5.077,1.965361605,
,,,-8.3,2.2,2.488,2.237209718,
,,,-8.2,2.857,8.359,2.172261959,
,,,-8.2,2.545,4.983,1.05952542,
,,,-7.7,2.072,4.977,2.859068779,
CHEMBL211710,O=c1c(C2=NS(=O)(=O)c3ccc(O)cc3N2)c(O)c2cccnc2n1Cc1ccccc1,,-8.9,0,0,1.964601036,
,,,-8.8,2.37,4.864,1.555289826,
,,,-8.8,2.904,7.796,1.384163349,
,,,-8.7,1.976,2.201,1.214324003,
,,,-8.7,2.728,8.433,2.378020138,
,,,-8.6,2.41,5.076,1.627213281,
,,,-8.6,4.39,7.908,1.188753824,
,,,-8.4,1.878,4.678,2.185278926,
,,,-8.4,1.516,4.379,0.964180804,
CHEMBL239524,COc1cccc2c1NC(c1c(O)c3cccnc3n(Cc3ccccc3)c1=O)=NS2(=O)=O,2120,-9,0,0,1.973055388,
,,,-8.8,1.96,2.19,1.222829921,
,,,-8.8,2.353,4.897,1.55183937,
,,,-8.8,2.904,7.785,1.366898124,
,,,-8.7,2.693,8.411,2.396532996,
,,,-8.7,4.256,7.85,1.068470692,
,,,-8.6,2.407,5.108,1.640592947,
,,,-8.4,1.498,4.415,0.970970909,
,,,-8.2,3.261,7.167,0.706820854,
